"REF_DATE","GEO","DGUID","Type of fuel","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2022-05","Canada","2016A000011124","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v1352087861","20.2","194.8","","","","1"
"2022-06","Canada","2016A000011124","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v1352087861","20.2","207.2","","","","1"
"2022-07","Canada","2016A000011124","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v1352087861","20.2","187.8","","","","1"
"2022-08","Canada","2016A000011124","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v1352087861","20.2","169.6","","","","1"
"2022-09","Canada","2016A000011124","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v1352087861","20.2","156.4","","","","1"
"2022-05","St. John's, Newfoundland and Labrador","2011S0503001","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735082","2.2","215.5","","","","1"
"2022-06","St. John's, Newfoundland and Labrador","2011S0503001","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735082","2.2","219.7","","","","1"
"2022-07","St. John's, Newfoundland and Labrador","2011S0503001","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735082","2.2","200.4","","","","1"
"2022-08","St. John's, Newfoundland and Labrador","2011S0503001","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735082","2.2","184.3","","","","1"
"2022-09","St. John's, Newfoundland and Labrador","2011S0503001","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735082","2.2","166.8","","","","1"
"2022-05","Charlottetown and Summerside, Prince Edward Island","","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735092","3.2","204.5","","","","1"
"2022-06","Charlottetown and Summerside, Prince Edward Island","","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735092","3.2","214.2","","","","1"
"2022-07","Charlottetown and Summerside, Prince Edward Island","","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735092","3.2","195.5","","","","1"
"2022-08","Charlottetown and Summerside, Prince Edward Island","","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735092","3.2","180.0","","","","1"
"2022-09","Charlottetown and Summerside, Prince Edward Island","","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735092","3.2","163.7","","","","1"
"2022-05","Halifax, Nova Scotia","2011S0503205","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735093","4.2","195.8","","","","1"
"2022-06","Halifax, Nova Scotia","2011S0503205","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735093","4.2","208.1","","","","1"
"2022-07","Halifax, Nova Scotia","2011S0503205","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735093","4.2","187.1","","","","1"
"2022-08","Halifax, Nova Scotia","2011S0503205","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735093","4.2","170.2","","","","1"
"2022-09","Halifax, Nova Scotia","2011S0503205","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735093","4.2","153.5","","","","1"
"2022-05","Saint John, New Brunswick","2011S0503310","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735094","5.2","194.2","","","","1"
"2022-06","Saint John, New Brunswick","2011S0503310","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735094","5.2","210.6","","","","1"
"2022-07","Saint John, New Brunswick","2011S0503310","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735094","5.2","192.1","","","","1"
"2022-08","Saint John, New Brunswick","2011S0503310","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735094","5.2","177.1","","","","1"
"2022-09","Saint John, New Brunswick","2011S0503310","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735094","5.2","158.5","","","","1"
"2022-05","Québec, Quebec","2011S0503421","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735095","6.2","206.6","","","","1"
"2022-06","Québec, Quebec","2011S0503421","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735095","6.2","219.7","","","","1"
"2022-07","Québec, Quebec","2011S0503421","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735095","6.2","201.0","","","","1"
"2022-08","Québec, Quebec","2011S0503421","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735095","6.2","186.8","","","","1"
"2022-09","Québec, Quebec","2011S0503421","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735095","6.2","165.8","","","","1"
"2022-05","Montréal, Quebec","2011S0503462","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735096","7.2","205.4","","","","1"
"2022-06","Montréal, Quebec","2011S0503462","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735096","7.2","216.5","","","","1"
"2022-07","Montréal, Quebec","2011S0503462","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735096","7.2","196.8","","","","1"
"2022-08","Montréal, Quebec","2011S0503462","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735096","7.2","183.5","","","","1"
"2022-09","Montréal, Quebec","2011S0503462","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735096","7.2","160.8","","","","1"
"2022-05","Ottawa-Gatineau, Ontario part, Ontario/Quebec","2011S050535505","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735097","8.2","198.0","","","","1"
"2022-06","Ottawa-Gatineau, Ontario part, Ontario/Quebec","2011S050535505","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735097","8.2","205.7","","","","1"
"2022-07","Ottawa-Gatineau, Ontario part, Ontario/Quebec","2011S050535505","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735097","8.2","180.4","","","","1"
"2022-08","Ottawa-Gatineau, Ontario part, Ontario/Quebec","2011S050535505","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735097","8.2","165.5","","","","1"
"2022-09","Ottawa-Gatineau, Ontario part, Ontario/Quebec","2011S050535505","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735097","8.2","148.7","","","","1"
"2022-05","Toronto, Ontario","2011S0503535","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735098","9.2","198.0","","","","1"
"2022-06","Toronto, Ontario","2011S0503535","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735098","9.2","205.9","","","","1"
"2022-07","Toronto, Ontario","2011S0503535","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735098","9.2","180.5","","","","1"
"2022-08","Toronto, Ontario","2011S0503535","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735098","9.2","165.6","","","","1"
"2022-09","Toronto, Ontario","2011S0503535","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735098","9.2","148.7","","","","1"
"2022-05","Thunder Bay, Ontario","2011S0503595","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735099","10.2","196.0","","","","1"
"2022-06","Thunder Bay, Ontario","2011S0503595","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735099","10.2","214.4","","","","1"
"2022-07","Thunder Bay, Ontario","2011S0503595","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735099","10.2","185.7","","","","1"
"2022-08","Thunder Bay, Ontario","2011S0503595","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735099","10.2","164.3","","","","1"
"2022-09","Thunder Bay, Ontario","2011S0503595","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735099","10.2","164.9","","","","1"
"2022-05","Winnipeg, Manitoba","2011S0503602","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735083","11.2","183.1","","","","1"
"2022-06","Winnipeg, Manitoba","2011S0503602","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735083","11.2","205.3","","","","1"
"2022-07","Winnipeg, Manitoba","2011S0503602","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735083","11.2","190.1","","","","1"
"2022-08","Winnipeg, Manitoba","2011S0503602","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735083","11.2","169.9","","","","1"
"2022-09","Winnipeg, Manitoba","2011S0503602","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735083","11.2","169.2","","","","1"
"2022-05","Regina, Saskatchewan","2011S0503705","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735084","12.2","181.4","","","","1"
"2022-06","Regina, Saskatchewan","2011S0503705","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735084","12.2","203.8","","","","1"
"2022-07","Regina, Saskatchewan","2011S0503705","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735084","12.2","191.4","","","","1"
"2022-08","Regina, Saskatchewan","2011S0503705","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735084","12.2","158.0","","","","1"
"2022-09","Regina, Saskatchewan","2011S0503705","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735084","12.2","158.1","","","","1"
"2022-05","Saskatoon, Saskatchewan","2011S0503725","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735085","13.2","181.5","","","","1"
"2022-06","Saskatoon, Saskatchewan","2011S0503725","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735085","13.2","202.9","","","","1"
"2022-07","Saskatoon, Saskatchewan","2011S0503725","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735085","13.2","186.5","","","","1"
"2022-08","Saskatoon, Saskatchewan","2011S0503725","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735085","13.2","153.8","","","","1"
"2022-09","Saskatoon, Saskatchewan","2011S0503725","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735085","13.2","155.0","","","","1"
