LCLid,day,energy_median,energy_mean,energy_max,energy_count,energy_std,energy_sum,energy_min
MAC000193,28-11-2011,0.307,0.307347826,0.584,23,0.113952386,7.069,0.122
MAC000193,29-11-2011,0.186,0.2055,0.778,48,0.182112427,9.864,0.022
MAC000193,30-11-2011,0.06,0.15975,0.982,48,0.191090321,7.668,0.018
MAC000193,01-12-2011,0.1335,0.214395833,1.232,48,0.249917581,10.291,0.03
MAC000193,02-12-2011,0.036,0.0866875,1.276,48,0.229723808,4.161,0.022
MAC000193,03-12-2011,0.028,0.029,0.039,48,0.004115358,1.392,0.023
MAC000193,04-12-2011,0.03,0.1219375,0.563,48,0.148869271,5.853,0.024
MAC000193,05-12-2011,0.174,0.216375,1.094,48,0.239722501,10.386,0.025
MAC000193,06-12-2011,0.2125,0.247541667,1.21,48,0.279328294,11.882,0.024
MAC000193,07-12-2011,0.081,0.206583333,0.784,48,0.204418098,9.916,0.028
MAC000193,08-12-2011,0.139,0.234625,1.461,48,0.284476348,11.262,0.025
MAC000193,09-12-2011,0.135,0.309291667,1.557,48,0.372843242,14.846,0.029
MAC000193,10-12-2011,0.309,0.488625002,2.809,48,0.623498121,23.4540001,0.024
MAC000193,11-12-2011,0.302,0.425249998,2.0639999,48,0.48476247,20.4119999,0.022
MAC000193,12-12-2011,0.1455,0.239166667,1.2920001,48,0.285209021,11.48,0.023
MAC000193,13-12-2011,0.1225,0.183020833,0.885,48,0.181278848,8.785,0.026
MAC000193,14-12-2011,0.2825,0.318145833,1.911,48,0.383427598,15.271,0.023
MAC000193,15-12-2011,0.167,0.259541667,1.233,48,0.270834955,12.458,0.024
MAC000193,16-12-2011,0.061,0.192416667,0.938,48,0.237677668,9.236,0.015
MAC000193,17-12-2011,0.152,0.230583333,1.163,48,0.264038104,11.068,0.021
MAC000193,18-12-2011,0.124,0.196583333,1.243,48,0.237904042,9.436,0.017
MAC000193,19-12-2011,0.3045,0.321729167,1.808,48,0.326723042,15.443,0.018
MAC000193,20-12-2011,0.0925,0.263020833,1.103,48,0.284070525,12.625,0.006
MAC000193,21-12-2011,0.088,0.2528125,1.673,48,0.346216428,12.135,0.011
MAC000193,22-12-2011,0.304,0.304333333,1.567,48,0.330015817,14.608,0.018
MAC000193,23-12-2011,0.096,0.2046875,0.837,48,0.226382951,9.825,0.015
MAC000193,24-12-2011,0.063,0.207583333,1.074,48,0.260631135,9.964,0.013
MAC000193,25-12-2011,0.3125,0.372208335,2.6530001,48,0.490376199,17.8660001,0.009
MAC000193,26-12-2011,0.1965,0.239125,0.766,48,0.204450964,11.478,0.028
MAC000193,27-12-2011,0.2475,0.273416667,1.059,48,0.27040693,13.124,0.032
MAC000193,28-12-2011,0.1505,0.258833333,1.063,48,0.278304772,12.424,0.028
MAC000193,29-12-2011,0.092,0.2364375,1.301,48,0.293146823,11.349,0.017
MAC000193,30-12-2011,0.1135,0.271395835,2.1960001,48,0.428795688,13.0270001,0.017
MAC000193,31-12-2011,0.078,0.172895833,0.748,48,0.164185577,8.299,0.017
MAC000193,01-01-2012,0.284,0.286416669,1.4630001,48,0.307342068,13.7480001,0.016
MAC000193,02-01-2012,0.0945,0.174416667,0.776,48,0.176179047,8.372,0.012
MAC000193,03-01-2012,0.1055,0.2175625,1.138,48,0.242974642,10.443,0.017
MAC000193,04-01-2012,0.1175,0.204979167,0.98,48,0.220726025,9.839,0.008
MAC000193,05-01-2012,0.1225,0.254020835,1.387,48,0.318190534,12.1930001,0.013
MAC000193,06-01-2012,0.1625,0.207541667,1.299,48,0.225506612,9.962,0.01
MAC000193,07-01-2012,0.131,0.201250002,1.0880001,48,0.230923455,9.6600001,0.006
MAC000193,08-01-2012,0.2035,0.240958331,1.2539999,48,0.274898732,11.5659999,0.005
MAC000193,09-01-2012,0.128,0.217854167,1.149,48,0.256830351,10.457,0.011
MAC000193,10-01-2012,0.1085,0.181291667,1.128,48,0.206714929,8.702,0.011
MAC000193,11-01-2012,0.1155,0.387958335,2.0610001,48,0.616548876,18.6220001,0.01
MAC000193,12-01-2012,0.1925,0.2293125,1.039,48,0.2193701,11.007,0.012
MAC000193,13-01-2012,0.124,0.222458335,1.3380001,48,0.285983936,10.6780001,0.011
MAC000193,14-01-2012,0.157,0.184833333,0.956,48,0.19116767,8.872,0.009
MAC000193,15-01-2012,0.2175,0.292770835,1.58,48,0.368202842,14.0530001,0.017
MAC000193,16-01-2012,0.1855,0.230395833,0.991,48,0.243939541,11.059,0.006
MAC000193,17-01-2012,0.28,0.388979165,1.9809999,48,0.438829455,18.6709999,0.004
MAC000193,18-01-2012,0.269,0.578583333,2.664,48,0.778012026,27.772,0.007
